assetID,lat,lon,vs30,fragilityModel,censusTract,occType,occupancy,strType,designLevel
201,37.5814599,-122.3897966,360,C2L-h-COM4-DF,6081605000,COM,COM4,C2L,HC
202,37.5814599,-122.3897966,360,C2L-m-COM4-DF,6081605000,COM,COM4,C2L,MC
203,37.5814599,-122.3897966,360,C2L-h-COM4-DF,6081605000,COM,COM4,C2L,VC
204,37.5814599,-122.3897966,360,C2M-m-COM4-DF,6081605000,COM,COM4,C2M,MC
205,37.5814599,-122.3897966,360,PC1-m-COM4-DF,6081605000,COM,COM4,PC1,MC
206,37.5814599,-122.3897966,360,RM1L-m-COM4-DF,6081605000,COM,COM4,RM1L,MC
207,37.5814599,-122.3897966,360,RM1M-m-COM4-DF,6081605000,COM,COM4,RM1M,MC
208,37.5814599,-122.3897966,360,RM2L-m-COM4-DF,6081605000,COM,COM4,RM2L,MC
209,37.5814599,-122.3897966,360,S1M-m-COM4-DF,6081605000,COM,COM4,S1M,MC
210,37.5814599,-122.3897966,360,S3-m-COM4-DF,6081605000,COM,COM4,S3,MC
211,37.5814599,-122.3897966,360,S4L-h-COM4-DF,6081605000,COM,COM4,S4L,VC
212,37.5814599,-122.3897966,360,S4M-m-COM4-DF,6081605000,COM,COM4,S4M,MC
213,37.5814599,-122.3897966,360,URML-p-COM4-DF,6081605000,COM,COM4,URML,PC
214,37.5814599,-122.3897966,360,W1-h-COM4-DF,6081605000,COM,COM4,W1,HC
215,37.5814599,-122.3897966,360,W1-m-COM4-DF,6081605000,COM,COM4,W1,MC
216,37.5814599,-122.3897966,360,W1-h-COM4-DF,6081605000,COM,COM4,W1,VC
217,37.5814599,-122.3897966,360,W2-m-COM4-DF,6081605000,COM,COM4,W2,MC
218,37.5814599,-122.3897966,360,C2M-m-COM5-DF,6081605000,COM,COM5,C2M,MC
219,37.5814599,-122.3897966,360,RM1L-m-COM5-DF,6081605000,COM,COM5,RM1L,MC
220,37.5814599,-122.3897966,360,S1M-m-COM5-DF,6081605000,COM,COM5,S1M,MC
221,37.5814599,-122.3897966,360,W1-m-COM5-DF,6081605000,COM,COM5,W1,MC
222,37.5814599,-122.3897966,360,C2L-m-COM6-DF,6081605000,COM,COM6,C2L,MS
223,37.5814599,-122.3897966,360,C2M-m-COM6-DF,6081605000,COM,COM6,C2M,MS
224,37.5814599,-122.3897966,360,RM1L-m-COM6-DF,6081605000,COM,COM6,RM1L,MS
225,37.5814599,-122.3897966,360,RM2L-m-COM6-DF,6081605000,COM,COM6,RM2L,MS
226,37.5814599,-122.3897966,360,W2-m-COM6-DF,6081605000,COM,COM6,W2,MS
227,37.5814599,-122.3897966,360,C1M-m-COM7-DF,6081605000,COM,COM7,C1M,MC
