AssetID,Latitude,Longitude,Vs30,Value,Vulnerability,occupancy,strType,occType,designLevel,censusTract,ExpectedLoss
"109",39.263444,-121.506255,360,1362.00,"S2L-m-COM5-DF","COM5","S2L","COM","MC","6115041001",NaN
"110",39.263444,-121.506255,360,1362.00,"W2-m-COM5-DF","COM5","W2","COM","MC","6115041001",NaN
"111",39.263444,-121.506255,360,829.00,"S4L-m-COM7-DF","COM7","S4L","COM","MC","6115041001",NaN
"112",39.263444,-121.506255,360,2111.67,"C2L-m-COM8-DF","COM8","C2L","COM","MC","6115041001",NaN
"113",39.263444,-121.506255,360,1055.84,"RM1L-m-COM8-DF","COM8","RM1L","COM","MC","6115041001",NaN
"114",39.263444,-121.506255,360,1055.84,"RM2L-m-COM8-DF","COM8","RM2L","COM","MC","6115041001",NaN
"115",39.263444,-121.506255,360,1087.83,"S1L-m-COM8-DF","COM8","S1L","COM","MC","6115041001",NaN
"116",39.263444,-121.506255,360,1087.83,"S4L-m-COM8-DF","COM8","S4L","COM","MC","6115041001",NaN
"117",39.263444,-121.506255,360,5580.00,"S2L-m-EDU1-DF","EDU1","S2L","EDU","MS","6115041001",NaN
"118",39.263444,-121.506255,360,5580.00,"W2-m-EDU1-DF","EDU1","W2","EDU","MS","6115041001",NaN
"119",39.263444,-121.506255,360,4313.00,"C2L-m-IND1-DF","IND1","C2L","IND","MC","6115041001",NaN
"120",39.263444,-121.506255,360,5542.90,"PC1-m-IND2-DF","IND2","PC1","IND","MC","6115041001",NaN
"121",39.263444,-121.506255,360,2730.08,"PC2L-m-IND2-DF","IND2","PC2L","IND","MC","6115041001",NaN
"122",39.263444,-121.506255,360,5442.75,"RM1L-m-IND2-DF","IND2","RM1L","IND","MC","6115041001",NaN
"123",39.263444,-121.506255,360,2658.24,"S1L-m-IND2-DF","IND2","S1L","IND","MC","6115041001",NaN
"124",39.263444,-121.506255,360,2738.79,"S3-m-IND2-DF","IND2","S3","IND","MC","6115041001",NaN
"125",39.263444,-121.506255,360,2658.24,"S4L-m-IND2-DF","IND2","S4L","IND","MC","6115041001",NaN
"126",39.263444,-121.506255,360,4625.38,"C1L-m-IND3-DF","IND3","C1L","IND","MC","6115041001",NaN
"127",39.263444,-121.506255,360,43170.17,"C2L-m-IND3-DF","IND3","C2L","IND","MC","6115041001",NaN
"128",39.263444,-121.506255,360,80173.17,"PC1-m-IND3-DF","IND3","PC1","IND","MC","6115041001",NaN
"129",39.263444,-121.506255,360,26210.46,"PC2L-m-IND3-DF","IND3","PC2L","IND","MC","6115041001",NaN
"130",39.263444,-121.506255,360,37117.21,"RM1L-m-IND3-DF","IND3","RM1L","IND","MC","6115041001",NaN
"131",39.263444,-121.506255,360,5139.31,"S1L-l-IND3-DF","IND3","S1L","IND","LC","6115041001",NaN
"132",39.263444,-121.506255,360,27409.63,"S1L-m-IND3-DF","IND3","S1L","IND","MC","6115041001",NaN
"133",39.263444,-121.506255,360,26553.08,"S2L-m-IND3-DF","IND3","S2L","IND","MC","6115041001",NaN
"134",39.263444,-121.506255,360,16274.47,"S3-m-IND3-DF","IND3","S3","IND","MC","6115041001",NaN
"135",39.263444,-121.506255,360,5139.31,"S4L-l-IND3-DF","IND3","S4L","IND","LC","6115041001",NaN
"136",39.263444,-121.506255,360,5139.31,"S4L-m-IND3-DF","IND3","S4L","IND","MC","6115041001",NaN
"137",39.263444,-121.506255,360,4282.76,"W1-m-IND3-DF","IND3","W1","IND","MC","6115041001",NaN
"138",39.263444,-121.506255,360,4282.76,"W2-m-IND3-DF","IND3","W2","IND","MC","6115041001",NaN
"139",39.263444,-121.506255,360,2196.00,"W1-m-IND5-DF","IND5","W1","IND","MC","6115041001",NaN
"140",39.263444,-121.506255,360,1691.45,"C2L-m-IND6-DF","IND6","C2L","IND","MC","6115041001",NaN
"141",39.263444,-121.506255,360,2562.80,"PC1-m-IND6-DF","IND6","PC1","IND","MC","6115041001",NaN
