assetID,lat,lon,vs30,value,vulnModel,censusTract,occType,occupancy,strType,designLevel,hazus
70,39.2634436,-121.5062545,360,1843.29,RM2L-m-AGR1-DF,6115041001,AGR,AGR1,RM2L,MC,RM2L-MC-AGR1
71,39.2634436,-121.5062545,360,901.164,S1L-m-AGR1-DF,6115041001,AGR,AGR1,S1L,MC,S1L-MC-AGR1
72,39.2634436,-121.5062545,360,1829.636,S3-m-AGR1-DF,6115041001,AGR,AGR1,S3,MC,S3-MC-AGR1
73,39.2634436,-121.5062545,360,921.645,URML-p-AGR1-DF,6115041001,AGR,AGR1,URML,PC,URML-PC-AGR1
74,39.2634436,-121.5062545,360,928.472,W1-l-AGR1-DF,6115041001,AGR,AGR1,W1,LC,W1-LC-AGR1
75,39.2634436,-121.5062545,360,3604.656,W1-m-AGR1-DF,6115041001,AGR,AGR1,W1,MC,W1-MC-AGR1
76,39.2634436,-121.5062545,360,928.472,W2-m-AGR1-DF,6115041001,AGR,AGR1,W2,MC,W2-MC-AGR1
77,39.2634436,-121.5062545,360,7230.381,C2L-m-COM1-DF,6115041001,COM,COM1,C2L,MC,C2L-MC-COM1
78,39.2634436,-121.5062545,360,2508.5,C2L-p-COM1-DF,6115041001,COM,COM1,C2L,PC,C2L-PC-COM1
79,39.2634436,-121.5062545,360,2508.5,PC1-m-COM1-DF,6115041001,COM,COM1,PC1,MC,PC1-MC-COM1
80,39.2634436,-121.5062545,360,2508.5,PC2L-m-COM1-DF,6115041001,COM,COM1,PC2L,MC,PC2L-MC-COM1
81,39.2634436,-121.5062545,360,2450.162,RM1L-m-COM1-DF,6115041001,COM,COM1,RM1L,MC,RM1L-MC-COM1
82,39.2634436,-121.5062545,360,2378.099,RM2L-m-COM1-DF,6115041001,COM,COM1,RM2L,MC,RM2L-MC-COM1
83,39.2634436,-121.5062545,360,2402.12,S3-m-COM1-DF,6115041001,COM,COM1,S3,MC,S3-MC-COM1
84,39.2634436,-121.5062545,360,2378.099,URML-p-COM1-DF,6115041001,COM,COM1,URML,PC,URML-PC-COM1
85,39.2634436,-121.5062545,360,2487.91,W1-m-COM1-DF,6115041001,COM,COM1,W1,MC,W1-MC-COM1
86,39.2634436,-121.5062545,360,7463.73,W2-m-COM1-DF,6115041001,COM,COM1,W2,MC,W2-MC-COM1
87,39.2634436,-121.5062545,360,3385.597,C2L-m-COM2-DF,6115041001,COM,COM2,C2L,MC,C2L-MC-COM2
88,39.2634436,-121.5062545,360,3310.362,PC1-m-COM2-DF,6115041001,COM,COM2,PC1,MC,PC1-MC-COM2
89,39.2634436,-121.5062545,360,827.5905,PC1-p-COM2-DF,6115041001,COM,COM2,PC1,PC,PC1-PC-COM2
90,39.2634436,-121.5062545,360,852.669,RM1L-m-COM2-DF,6115041001,COM,COM2,RM1L,MC,RM1L-MC-COM2
91,39.2634436,-121.5062545,360,3310.362,RM2L-m-COM2-DF,6115041001,COM,COM2,RM2L,MC,RM2L-MC-COM2
92,39.2634436,-121.5062545,360,835.95,S1L-m-COM2-DF,6115041001,COM,COM2,S1L,MC,S1L-MC-COM2
