assetID,lat,lon,vs30,value,vulnModel,censusTract,occType,occupancy,strType,designLevel,occ,designlevel
743190,33.8183565,-118.3038904,360,21386.84,W1-m-RES1-DF,06037293205,RES,RES1,W1,MC,RES1,m
743295,33.1335058,-117.064014,360,133081.0,W1-m-RES1-DF,06073020211,RES,RES1,W1,MC,RES1,m
743432,35.1074659,-120.6240989,360,90061.56,W1-m-RES1-DF,06079012201,RES,RES1,W1,MC,RES1,m
743499,38.7139046,-121.3948906,360,348197.0,W1-m-RES1-DF,06067007417,RES,RES1,W1,MC,RES1,m
743540,33.7064714,-118.0126393,360,444701.4,W1-m-RES1-DF,06059099412,RES,RES1,W1,MC,RES1,m
743578,37.4364465,-122.1923294,360,661864.0,W1-m-RES1-DF,06081612800,RES,RES1,W1,MC,RES1,m
743629,33.9393721,-116.4759837,360,67626.56,W1-m-RES1-DF,06065044516,RES,RES1,W1,MC,RES1,m
743678,34.2892496,-118.460655,360,128349.3,W1-m-RES1-DF,06037106649,RES,RES1,W1,MC,RES1,m
743744,37.6018515,-120.9088941,360,863127.1,W1-m-RES1-DF,06099003003,RES,RES1,W1,MC,RES1,m
743819,38.6485991,-121.4650243,360,250323.0,W1-m-RES1-DF,06067006703,RES,RES1,W1,MC,RES1,m
743863,37.9103775,-121.309714,360,601739.0,W1-m-RES1-DF,06077003804,RES,RES1,W1,MC,RES1,m
744023,35.2582904,-119.5019126,360,158081.5,W1-m-RES1-DF,06029003304,RES,RES1,W1,MC,RES1,m
744155,33.5987527,-117.6918666,360,520572.2,W1-m-RES1-DF,06059042307,RES,RES1,W1,MC,RES1,m
744222,34.0336601,-117.1610389,360,487233.3,W1-m-RES1-DF,06071008501,RES,RES1,W1,MC,RES1,m
744305,37.8740722,-122.2779151,360,159931.5,W1-m-RES1-DF,06001422300,RES,RES1,W1,MC,RES1,m
744365,34.4848042,-117.5382975,360,13025.71,W1-m-RES1-DF,06071009122,RES,RES1,W1,MC,RES1,m
744463,38.5214525,-122.9160376,360,349416.8,W1-m-RES1-DF,06097153705,RES,RES1,W1,MC,RES1,m
744522,37.301126,-121.7886395,360,140687.4,W1-m-RES1-DF,06085503333,RES,RES1,W1,MC,RES1,m
744636,35.2643638,-120.6960711,360,325585.4,W1-m-RES1-DF,06079011300,RES,RES1,W1,MC,RES1,m
744746,38.0084765,-122.2564015,360,16217.9,W1-m-RES1-DF,06013359203,RES,RES1,W1,MC,RES1,m
744936,33.6933666,-117.9102462,360,343641.9,W1-m-RES1-DF,06059063910,RES,RES1,W1,MC,RES1,m
744978,34.1250568,-117.8857418,360,136535.8,W1-m-RES1-DF,06037404203,RES,RES1,W1,MC,RES1,m
745046,34.3867094,-118.5394175,360,108007.0,W1-m-RES1-DF,06037920340,RES,RES1,W1,MC,RES1,m
745122,33.0998057,-117.0388233,360,383542.6,W1-m-RES1-DF,06073020706,RES,RES1,W1,MC,RES1,m
745216,34.0922258,-117.9014277,360,330902.4,W1-m-RES1-DF,06037406000,RES,RES1,W1,MC,RES1,m
745342,37.1495734,-121.6601298,360,136918.3,W1-m-RES1-DF,06085512311,RES,RES1,W1,MC,RES1,m
745432,38.9862696,-122.7824591,360,170809.2,W1-m-RES1-DF,06033000902,RES,RES1,W1,MC,RES1,m
745527,37.5053439,-120.8421217,360,104662.0,W1-m-RES1-DF,06099003906,RES,RES1,W1,MC,RES1,m
745607,34.4240676,-117.4554664,360,48074.24,W1-m-RES1-DF,06071009119,RES,RES1,W1,MC,RES1,m
745641,34.4303366,-118.486524,360,183373.2,W1-m-RES1-DF,06037920029,RES,RES1,W1,MC,RES1,m
745734,32.7987225,-117.0846348,360,337092.4,W1-m-RES1-DF,06073009602,RES,RES1,W1,MC,RES1,m
745777,33.8997851,-118.2183077,360,27075.66,W1-m-RES1-DF,06037541606,RES,RES1,W1,MC,RES1,m
745856,34.1756961,-118.5246446,360,395086.6,W1-m-RES1-DF,06037139200,RES,RES1,W1,MC,RES1,m
745974,39.2475277,-120.0199033,360,223544.6,W1-m-RES1-DF,06061020107,RES,RES1,W1,MC,RES1,m
746070,37.3988343,-121.8810513,360,235731.2,W1-m-RES1-DF,06085504323,RES,RES1,W1,MC,RES1,m
746113,34.2820993,-118.3925764,360,205018.5,W1-m-RES1-DF,06037104103,RES,RES1,W1,MC,RES1,m
