AssetID,Latitude,Longitude,Vs30,Value,Vulnerability,censusTract,occType,occupancy,strType,designLevel,ExpectedLoss
"64",33.680603,-117.281120,360,1987.00,"MH-m-RES2-DF","6065042748","RES","RES2","MH","MC",NaN
"65",33.680603,-117.281120,360,899.00,"W1-m-RES3AF-DF","6065042748","RES","RES3A","W1","MC",NaN
"66",33.680603,-117.281120,360,3888.00,"W1-h-RES3AF-DF","6065042748","RES","RES3D","W1","HC",NaN
"67",39.263444,-121.506255,360,887.51,"C2L-m-AGR1-DF","6115041001","AGR","AGR1","C2L","MC",NaN
"68",39.263444,-121.506255,360,887.51,"PC1-m-AGR1-DF","6115041001","AGR","AGR1","PC1","MC",NaN
"69",39.263444,-121.506255,360,921.65,"RM1L-m-AGR1-DF","6115041001","AGR","AGR1","RM1L","MC",NaN
"70",39.263444,-121.506255,360,1843.29,"RM2L-m-AGR1-DF","6115041001","AGR","AGR1","RM2L","MC",NaN
"71",39.263444,-121.506255,360,901.16,"S1L-m-AGR1-DF","6115041001","AGR","AGR1","S1L","MC",NaN
"72",39.263444,-121.506255,360,1829.64,"S3-m-AGR1-DF","6115041001","AGR","AGR1","S3","MC",NaN
"73",39.263444,-121.506255,360,921.65,"URML-p-AGR1-DF","6115041001","AGR","AGR1","URML","PC",NaN
"74",39.263444,-121.506255,360,928.47,"W1-l-AGR1-DF","6115041001","AGR","AGR1","W1","LC",NaN
"75",39.263444,-121.506255,360,3604.66,"W1-m-AGR1-DF","6115041001","AGR","AGR1","W1","MC",NaN
"76",39.263444,-121.506255,360,928.47,"W2-m-AGR1-DF","6115041001","AGR","AGR1","W2","MC",NaN
"77",39.263444,-121.506255,360,7230.38,"C2L-m-COM1-DF","6115041001","COM","COM1","C2L","MC",NaN
"78",39.263444,-121.506255,360,2508.50,"C2L-p-COM1-DF","6115041001","COM","COM1","C2L","PC",NaN
"79",39.263444,-121.506255,360,2508.50,"PC1-m-COM1-DF","6115041001","COM","COM1","PC1","MC",NaN
"80",39.263444,-121.506255,360,2508.50,"PC2L-m-COM1-DF","6115041001","COM","COM1","PC2L","MC",NaN
"81",39.263444,-121.506255,360,2450.16,"RM1L-m-COM1-DF","6115041001","COM","COM1","RM1L","MC",NaN
"82",39.263444,-121.506255,360,2378.10,"RM2L-m-COM1-DF","6115041001","COM","COM1","RM2L","MC",NaN
"83",39.263444,-121.506255,360,2402.12,"S3-m-COM1-DF","6115041001","COM","COM1","S3","MC",NaN
"84",39.263444,-121.506255,360,2378.10,"URML-p-COM1-DF","6115041001","COM","COM1","URML","PC",NaN
"85",39.263444,-121.506255,360,2487.91,"W1-m-COM1-DF","6115041001","COM","COM1","W1","MC",NaN
"86",39.263444,-121.506255,360,7463.73,"W2-m-COM1-DF","6115041001","COM","COM1","W2","MC",NaN
"87",39.263444,-121.506255,360,3385.60,"C2L-m-COM2-DF","6115041001","COM","COM2","C2L","MC",NaN
"88",39.263444,-121.506255,360,3310.36,"PC1-m-COM2-DF","6115041001","COM","COM2","PC1","MC",NaN
"89",39.263444,-121.506255,360,827.59,"PC1-p-COM2-DF","6115041001","COM","COM2","PC1","PC",NaN
"90",39.263444,-121.506255,360,852.67,"RM1L-m-COM2-DF","6115041001","COM","COM2","RM1L","MC",NaN
"91",39.263444,-121.506255,360,3310.36,"RM2L-m-COM2-DF","6115041001","COM","COM2","RM2L","MC",NaN
"92",39.263444,-121.506255,360,835.95,"S1L-m-COM2-DF","6115041001","COM","COM2","S1L","MC",NaN
"93",39.263444,-121.506255,360,1671.90,"S2L-m-COM2-DF","6115041001","COM","COM2","S2L","MC",NaN
"94",39.263444,-121.506255,360,835.95,"S3-m-COM2-DF","6115041001","COM","COM2","S3","MC",NaN
"95",39.263444,-121.506255,360,852.67,"URML-p-COM2-DF","6115041001","COM","COM2","URML","PC",NaN
"96",39.263444,-121.506255,360,835.95,"W1-m-COM2-DF","6115041001","COM","COM2","W1","MC",NaN
"97",39.263444,-121.506255,360,1331.30,"C2L-m-COM3-DF","6115041001","COM","COM3","C2L","MC",NaN
"98",39.263444,-121.506255,360,655.72,"PC1-m-COM3-DF","6115041001","COM","COM3","PC1","MC",NaN
"99",39.263444,-121.506255,360,1331.30,"RM1L-m-COM3-DF","6115041001","COM","COM3","RM1L","MC",NaN
